algorithm,n,seed,comparison_count,degree_gini,degree_p80_fraction,degree_normalized_entropy,maximum_degree_share,strength_gini,strength_p80_fraction,strength_normalized_entropy,maximum_strength_share,progress_fraction
quick-dual-pivot,128,66,256,0.604461669921875,0.4375,0.7461026415108748,0.232421875,0.604461669921875,0.4375,0.7461026415108748,0.232421875,0.33773087071240104
quick-dual-pivot,128,66,512,0.53271484375,0.4453125,0.8726866125946351,0.1162109375,0.53271484375,0.4453125,0.8726866125946351,0.1162109375,0.6754617414248021
quick-dual-pivot,128,66,758,0.3451929419525066,0.640625,0.9354452699757544,0.07849604221635884,0.3451929419525066,0.640625,0.9354452699757544,0.07849604221635884,1.0
quick-dual-pivot,128,67,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0012406947890818859
quick-dual-pivot,128,67,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.0024813895781637717
quick-dual-pivot,128,67,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.004962779156327543
quick-dual-pivot,128,67,8,0.9658203125,0.03125,0.3427710671925285,0.3125,0.9658203125,0.03125,0.3427710671925285,0.3125,0.009925558312655087
quick-dual-pivot,128,67,16,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.019851116625310174
quick-dual-pivot,128,67,32,0.9169921875,0.09375,0.5007544442855147,0.28125,0.9169921875,0.09375,0.5007544442855147,0.28125,0.03970223325062035
quick-dual-pivot,128,67,64,0.853515625,0.1640625,0.5747781820193943,0.28125,0.853515625,0.1640625,0.5747781820193943,0.28125,0.0794044665012407
quick-dual-pivot,128,67,128,0.72552490234375,0.3125,0.6489569930616823,0.28515625,0.72552490234375,0.3125,0.6489569930616823,0.28515625,0.1588089330024814
quick-dual-pivot,128,67,256,0.56036376953125,0.515625,0.7418039151109661,0.240234375,0.56036376953125,0.515625,0.7418039151109661,0.240234375,0.3176178660049628
quick-dual-pivot,128,67,512,0.569427490234375,0.3984375,0.8506607398071178,0.1201171875,0.569427490234375,0.3984375,0.8506607398071178,0.1201171875,0.6352357320099256
quick-dual-pivot,128,67,806,0.36647022332506207,0.625,0.9295168289229206,0.07630272952853598,0.36647022332506207,0.625,0.9295168289229206,0.07630272952853598,1.0
quick-dual-pivot,128,68,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0010905125408942203
